item_id,brand,monthy_sale_trend_202511,monthy_sale_trend_202512,202512月销量,品牌
MLC1000087256,,0.0,0.0,0.0,Genérica
MLC1000098129,,,,0.0,Dahua
MLC1000109708,,,,0.0,balun hd
MLC1000123195,,0.0,0.0,0.0,Dahua
MLC1000129000,,,,0.0,Genérica
MLC1000261149,,,,0.0,OEM
MLC1000512122,,,,0.0,Tasbel
MLC1000924203,,,,0.0,Acalazyas
MLC1000924572,,0.0,0.0,0.0,OEM
MLC1001024536,,,,0.0,Tuya app
MLC1001126161,,,,0.0,Vision
MLC1001130265,,,,0.0,Micom
MLC1001131280,,0.0,6.0,6.0,Dahua
MLC1001155662,,0.0,0.0,0.0,Genérica
MLC1001155705,,,,0.0,Genérica
MLC1001680439,,,,0.0,Hikvision
MLC1001820210,,3.0,6.0,6.0,Dahua
MLC1001858921,,,,0.0,Dahua
MLC1001872008,,5.0,0.0,0.0,Dahua
MLC1002095266,,,,0.0,Mr.Shop
MLC1002664802,,,,0.0,Mini Cámara
MLC1002664807,,,,0.0,Mini Cámara
MLC1002684205,,,,0.0,Adkar
MLC1002697374,,,,0.0,Shenzhen
MLC1002700584,,,,0.0,Dahua
MLC1003127254,,,,0.0,Genérica
MLC1003426070,,,,0.0,Seisa
MLC1003916477,,,,0.0,Mlab
MLC1003928673,,,,0.0,Vision
MLC1004116399,,,,0.0,Imou
MLC1004139377,,,,0.0,Saori
MLC1004165169,,,,0.0,Big Seas
MLC1004663947,,,,0.0,Qihan
MLC1004664296,,,,0.0,Qihan
MLC1004676919,,,,0.0,Qihan
MLC1004708956,,,,0.0,Qihan
MLC1004847747,,,,0.0,Genérica
MLC1004854334,,,,0.0,Genérica
MLC1004864302,,,,0.0,Yosse
MLC1004886629,,,,0.0,VR
MLC1005089370,,,,0.0,YI
MLC1005089577,,1.0,4.0,5.0,Dahua
MLC1005093691,,0.0,0.0,0.0,Dahua
MLC1005122431,,,,0.0,RONDON IMPORTACIONES SPA
MLC1005169506,,,,0.0,HD MINI
MLC1005269097,,0.0,0.0,0.0,Dahua
MLC1005297897,,0.0,0.0,0.0,Dahua
MLC1005373638,,,,0.0,Safecom
MLC1005578640,,,,0.0,Dahua
MLC1005753773,,,,0.0,WiFI Smart Camera
MLC1005804198,,,,0.0,EPA
MLC1005887786,,,,0.0,Imou
MLC1006498338,,,,0.0,Adkar
MLC1006522974,,,,0.0,Dahua
MLC1006529352,,0.0,1.0,1.0,Dahua
MLC1006582512,,,,0.0,Disparo
MLC1006768847,,0.0,0.0,,
MLC1006775325,,,,0.0,Imou
MLC1006789073,,,,0.0,Imou
MLC1006837181,,0.0,0.0,0.0,Dahua
MLC1006839639,,,,0.0,Dahua
MLC1006897626,,,,0.0,Imou
MLC1006897730,,,,0.0,
MLC1006941147,,,,0.0,Yoosee
MLC1006998765,,,,0.0,Imou
MLC1007043281,,,,0.0,Jcwhcam
MLC1007440045,,,,0.0,Hikvision
MLC1007460411,,,,0.0,Onec
MLC1007515629,,0.0,2.0,2.0,Betensh
MLC1007985489,,,,0.0,AHD
MLC1008087278,,0.0,0.0,0.0,Betensh
MLC1008091142,,,,0.0,XITRUS
MLC1008266724,,13.0,0.0,0.0,Genérica
MLC1008283703,,,,0.0,Imou
MLC1008293991,,,,0.0,Dahua
MLC1008315138,,,,0.0,Imou
MLC1008315236,,0.0,2.0,2.0,Dahua
MLC1008315317,,1.0,0.0,0.0,Hikvision
MLC1008321540,,,,0.0,Imou
MLC1008403067,,2.0,3.0,3.0,Camara
MLC1008422023,,0.0,0.0,0.0,Dahua
MLC1008499621,,,,0.0,Imou
MLC1008900049,,0.0,0.0,0.0,Mini Cámara
MLC1008925112,,,,0.0,Genérica
MLC1008928308,,,,0.0,Imou
MLC1008950138,,,,0.0,Genérica
MLC1008956378,,,,0.0,Ezviz
MLC1008962793,,,,0.0,Camara
MLC1009273667,,,,0.0,Dahua
MLC1009364660,,,,0.0,Hikvision
MLC1009641370,,0.0,0.0,0.0,Dahua
MLC1009654503,,0.0,0.0,0.0,Dahua
MLC1009950452,,,,0.0,EXPLORER COMPACT
MLC1010041605,,,,0.0,Betensh
MLC1010054885,,,,0.0,Betensh
MLC1010168339,,,,0.0,Dahua
MLC1010194617,,0.0,0.0,0.0,Genérica
MLC1010283010,,0.0,0.0,0.0,Genérica
MLC1010283285,,,,0.0,Wifi Smart Net Camera
MLC1010300841,,0.0,0.0,0.0,Dahua
MLC1010302449,,0.0,0.0,0.0,Genérica
MLC1010399511,,0.0,0.0,0.0,Dahua
MLC1010417724,,,,0.0,Smart Camara
MLC1010474657,,,,0.0,Genérica
MLC1010493179,,,,0.0,Dahua
MLC1010624816,,,,0.0,Imou
MLC1010754279,,,,0.0,Imou
MLC1010781720,,0.0,0.0,,
MLC1010782224,,,,0.0,Imou
MLC1010782227,,0.0,0.0,0.0,Imou
MLC1010783184,,,,0.0,D-Motica
MLC1011463212,,,,0.0,V380
MLC1011463549,,,,0.0,Imou
MLC1011463619,,,,0.0,Imou
MLC1011612160,,,,0.0,V380
MLC1011946433,,0.0,0.0,0.0,Dahua
MLC1011961907,,,,0.0,Dahua
MLC1012453991,,,,0.0,Xiaomi
MLC1012456559,,,,0.0,Dahua
MLC1012495547,,0.0,0.0,0.0,Dahua
MLC1012507483,,,,0.0,Dahua
MLC1012513927,,0.0,0.0,0.0,Dahua
MLC1012514424,,0.0,0.0,,
MLC1012518653,,,,0.0,Smart Camara
MLC1012759647,,0.0,0.0,0.0,Hikvision
MLC1012864368,,,,0.0,IRM
MLC1012924183,,,,0.0,Hikvision
MLC1013076912,,,,0.0,Wyze
MLC1013485284,,,,0.0,Tasbel
MLC1013488075,,,,0.0,Hikvision
MLC1013502197,,0.0,0.0,0.0,Dahua
MLC1013504656,,,,0.0,Marin
MLC1013504695,,,,0.0,Tasbel
MLC1013517978,,,,0.0,Qihan
MLC1013526842,,,,0.0,Ezviz
MLC1013537443,,,,0.0,Genérica
MLC1014031940,,,,0.0,Genérica
MLC1014057171,,,,0.0,Tuya
MLC1015050068,Dahua,2.0,7.0,5.0,Dahua
MLC1015186705,,,,0.0,Hikvision
MLC1015388813,,,,0.0,Maximum
MLC1015425141,,,,0.0,SS Pro
MLC1015446346,,,,0.0,Genérica
MLC1015446784,,,,0.0,SS Pro
MLC1015446898,,,,0.0,SS Pro
MLC1015885178,,,,0.0,Mlab
MLC1015885418,,,,0.0,Mlab
MLC1016721308,,,,0.0,Hikvision
MLC1016780933,,,,0.0,Ezviz
MLC1017551694,,,,0.0,Camara
MLC1017924165,,,,0.0,Genérica
MLC1018297235,,,,0.0,Genérica
MLC1018305337,Hikvision,27.0,8.0,5.0,Hikvision
MLC1018318348,Hikvision,31.0,4.0,7.0,Hikvision
MLC1018735599,,,,0.0,Dahua
MLC1018745899,,,,0.0,Genérica
MLC1018746029,,,,0.0,Dahua
MLC1018764030,,,,0.0,
MLC1018764593,,,,0.0,Xiaomi
MLC1019186538,,2.0,6.0,6.0,Cycom
MLC1019200001,,,,0.0,Opentecno
