brand,202510,202511,202512,diff,si,si_diff
2NLF,20997,27281,18002,-9279,17972,30
Dheot,15319,13747,17445,3698,16563,882
MVPSMART,10391,12806,15065,2259,14955,110
Fuers,8705,10730,11526,796,0,11526
Dahua,15067,13676,11127,-2549,10995,132
Genérica,8357,9967,8574,-1393,0,8574
Inovat,6259,13185,8301,-4884,0,8301
TP-Link,10205,11203,7942,-3261,8161,-219
Imou,5501,7177,7305,128,7183,122
OJO,5711,7208,7205,-3,6746,459
YUTUCAM,6296,8456,6946,-1510,0,6946
Nanwei,4452,5517,5763,246,0,5763
VERYHDSN,8443,8512,5369,-3143,0,5369
KAMKOI,4913,6230,5244,-986,0,5244
Anbolm,5066,4537,4848,311,0,4848
Loho Tech,6610,4823,4800,-23,0,4800
Jooan,3420,3946,4561,615,0,4561
General,1919,2854,3968,1114,0,3968
HPM,3892,3579,3829,250,0,3829
Woiow,1798,2804,3542,738,0,3542
